4,
_ ,5 ,_ ,13,7 ,14,_ ,_ ,10,_ ,9 ,11,4 ,_ ,_ ,_
_ ,11,_ ,2 ,12,_ ,9 ,_ ,13,_ ,_ ,_ ,_ ,10,_ ,3
3 ,_ ,_ ,16,5 ,_ ,_ ,4 ,6 ,_ ,14,_ ,11,_ ,_ ,_
9 ,_ ,_ ,_ ,_ ,_ ,10,_ ,_ ,_ ,_ ,_ ,5 ,_ ,_ ,_
1 ,_ ,2 ,_ ,_ ,4 ,_ ,12,_ ,_ ,_ ,8 ,6 ,11,_ ,10
_ ,7 ,_ ,9 ,10,_ ,_ ,_ ,12,6 ,_ ,_ ,_ ,13,15,1
12,13,14,_ ,8 ,_ ,3 ,6 ,_ ,10,_ ,_ ,7 ,5 ,16,4
_ ,6 ,_ ,_ ,1 ,15,_ ,_ ,2 ,_ ,_ ,14,_ ,8 ,12,_
_ ,15,16,_ ,14,_ ,_ ,9 ,_ ,_ ,6 ,5 ,_ ,_ ,1 ,_
11,12,7 ,1 ,_ ,_ ,5 ,_ ,14,15,_ ,10,_ ,4 ,2 ,13
2 ,3 ,9 ,_ ,_ ,_ ,7 ,15,_ ,_ ,_ ,13,16,_ ,5 ,_
6 ,_ ,5 ,4 ,13,_ ,_ ,_ ,11,_ ,8 ,_ ,_ ,12,_ ,15
_ ,_ ,_ ,7 ,_ ,_ ,_ ,_ ,_ ,9 ,_ ,_ ,_ ,_ ,_ ,6
_ ,_ ,_ ,12,_ ,5 ,_ ,2 ,3 ,_ ,_ ,15,13,_ ,_ ,8
14,_ ,3 ,_ ,_ ,_ ,_ ,13,_ ,11,_ ,6 ,15,_ ,10,_
_ ,_ ,_ ,6 ,3 ,9 ,_ ,14,_ ,_ ,10,12,1 ,_ ,4 ,_
